"","Parcela","Arv","cap","alt","obs"
"951",19,39,"95,4","",""
"952",19,40,"42,5","",""
"953",19,41,"86,4","",""
"954",19,42,"","","morta"
"955",19,43,"52,3","26",""
"956",19,44,"37,6","",""
"957",19,45,"89,5","",""
"958",19,46,"46","",""
"959",19,47,"77,2","",""
"960",19,48,"57,7","",""
"961",19,49,"70,2","",""
"962",18,1,"29,6","12,6",""
"963",18,2,"55,4","27,9",""
"964",18,3,"76,9","",""
"965",18,4,"43,5","",""
"966",18,5,"69","31,7",""
"967",18,6,"56","24,3",""
"968",18,7,"40,7","",""
"969",18,8,"35,2","17,3",""
"970",18,9,"56,5","28,7",""
"971",18,10,"32,1","",""
"972",18,11,"64,7","28,9",""
"973",18,12,"69","",""
"974",18,13,"48","22,2",""
"975",18,14,"50,8","",""
"976",18,15,"36,1","17,9",""
"977",18,16,"52,5","",""
"978",18,17,"92,2","37,4",""
"979",18,18,"30,4","",""
"980",18,19,"67,8","",""
"981",18,20,"45,4","18,2",""
"982",18,21,"42,8","",""
"983",18,22,"30,6","",""
"984",18,23,"62,5","",""
"985",18,24,"49,8","",""
"986",18,25,"54,4","",""
"987",18,26,"31,1","",""
"988",18,27,"58,7","",""
"989",18,28,"79,8","33,3",""
"990",18,29,"72,5","",""
"991",18,30,"61,4","",""
"992",18,31,"38,5","",""
"993",18,32,"40,5","",""
"994",18,33,"73,6","",""
"995",18,34,"45,4","",""
"996",18,35,"51,8","",""
"997",18,36,"46,5","25,5",""
"998",18,37,"","","morta"
"999",18,38,"","","morta"
"1000",18,39,"70,7","28,9",""
"1001",18,40,"37","",""
"1002",18,41,"51,8","",""
"1003",18,42,"60","",""
"1004",18,43,"39,8","",""
"1005",18,44,"52,6","26,9",""
"1006",18,45,"","","morta"
"1007",18,46,"","","morta"
"1008",18,47,"","","morta"
